family,pair_id,gamma,seq_len_x,seq_len_y,total_mass,mass_mea,mass_vit,delta_mass,delta_mass_pct,num_mea,num_vit,num_shared,mass_shared,mass_mea_only,mass_vit_only,mean_post_mea,mean_post_vit,efficiency_mea,efficiency_vit,jaccard
RF00058,RF00058_2.sto_0,0.625,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.75,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.875,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.95,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00060,RF00060_0.sto_0,0.01,132,132,129.546098322506,124.09492418373242,123.43436244186762,0.6605617418647967,0.5099047755342837,130,130,128,122.76713650659482,1.3277876771375916,0.6672259352727996,0.9545763398748645,0.9494950957066737,0.9545763398748648,0.949495095706674,0.9696969696969697
RF00060,RF00060_0.sto_0,0.1,132,132,129.546098322506,124.09492418373242,123.43436244186762,0.6605617418647967,0.5099047755342837,130,130,128,122.76713650659482,1.3277876771375916,0.6672259352727996,0.9545763398748645,0.9494950957066737,0.9545763398748648,0.949495095706674,0.9696969696969697
RF00060,RF00060_0.sto_0,0.125,132,132,129.546098322506,124.09492418373242,123.43436244186762,0.6605617418647967,0.5099047755342837,130,130,128,122.76713650659482,1.3277876771375916,0.6672259352727996,0.9545763398748645,0.9494950957066737,0.9545763398748648,0.949495095706674,0.9696969696969697
RF00060,RF00060_0.sto_0,0.25,132,132,129.546098322506,124.09492418373242,123.43436244186762,0.6605617418647967,0.5099047755342837,130,130,128,122.76713650659482,1.3277876771375916,0.6672259352727996,0.9545763398748645,0.9494950957066737,0.9545763398748648,0.949495095706674,0.9696969696969697
RF00060,RF00060_0.sto_0,0.375,132,132,129.546098322506,124.09492418373242,123.43436244186762,0.6605617418647967,0.5099047755342837,130,130,128,122.76713650659482,1.3277876771375916,0.6672259352727996,0.9545763398748645,0.9494950957066737,0.9545763398748648,0.949495095706674,0.9696969696969697
RF00060,RF00060_0.sto_0,0.5,132,132,129.546098322506,124.09492418373242,123.43436244186762,0.6605617418647967,0.5099047755342837,130,130,128,122.76713650659482,1.3277876771375916,0.6672259352727996,0.9545763398748645,0.9494950957066737,0.9545763398748648,0.949495095706674,0.9696969696969697
